root_domain,nonprofit_score,signals
mediafeed.org,4,"['nonprofit', 'mission']"
medshadow.org,12,"['501(c)(3)', 'nonprofit', 'donate', 'foundation']"
metlink.org,3,"['charity', 'mission']"
metmuseum.org,1,['mission']
mhanational.org,2,['foundation']
mhrk.org,2,['donate']
michaellanglois.org,1,['mission']
milhilard.org,2,['donate']
milkeneducatorawards.org,2,['foundation']
millsarchive.org,6,"['charity', 'donate', 'foundation']"
miraheze.org,2,['donate']
misbb.org,7,"['501(c)(3)', 'donate']"
missourifirearmscoalition.org,3,"['donate', 'mission']"
mnaspa.org,3,['nonprofit']
momsforliberty.org,8,"['nonprofit', 'donate', 'foundation', 'mission']"
morganfamilycenter.org,3,"['donate', 'mission']"
motivationalinterviewing.org,2,['donate']
mountaineers.org,11,"['501(c)(3)', 'nonprofit', 'donate', 'mission']"
movimentoeureka.org.br,2,['foundation']
mozilla.org,2,['foundation']
mozillazine.org,1,['mission']
mrlib.org,11,"['501(c)(3)', 'nonprofit', 'donate', 'mission']"
msp.org,1,['mission']
munstertransition.org,1,['mission']
museyeum.org,1,['mission']
mutualfundguide.org,3,"['charity', 'mission']"
mybrightonandhove.org.uk,2,['donate']
myflr.org,2,['donate']
myonechurch.org,4,"['nonprofit', 'mission']"
nacla.org,5,"['charity', 'donate', 'mission']"
namb.org,1,['mission']
namisf.org,2,['donate']
nantucketconservation.org,4,"['donate', 'foundation']"
natcom.org,1,['mission']
nationaldisasterrecovery.org,2,['foundation']
naturalclimatechange.org,5,"['donate', 'foundation', 'mission']"
navywivesclubsofamerica.org,2,['donate']
ncronline.org,3,"['donate', 'mission']"
nesdev.org,1,['mission']
newbushtelegraph.org.au,2,['donate']
newcastlepa.org,1,['mission']
newenergycolorado.org,2,['donate']
newohiotheatre.org,5,"['donate', 'foundation', 'mission']"
newprosperityfoundation.org,2,['foundation']
nm.org,1,['mission']
nnepc.org,2,['donate']
nuxiooiw.org,8,"['501(c)(3)', 'donate', 'mission']"
nwhillsumc.org,2,['donate']
nycplaywrights.org,1,['mission']
nyhistory.org,1,['mission']
oaklandwiki.org,2,['donate']
oakparktownship.org,2,['donate']
oasiseverywhere.org,2,['donate']
ochs.org.uk,3,"['charity', 'mission']"
ocp.org,1,['mission']
oecd-ilibrary.org,1,['mission']
oeis.org,2,['foundation']
oercommons.org,2,['donate']
oneforisrael.org,8,"['501(c)(3)', 'donate', 'mission']"
onions-usa.org,1,['mission']
onlinefocus.org,2,['donate']
opcofamerica.org,2,['foundation']
openbeautyfacts.org,1,['mission']
ordinecostantinianoitalia.org,1,['mission']
oremus.org,1,['mission']
orlandparkprayercenter.org,2,['donate']
oswca.org,1,['mission']
ourfuture.org,5,"['nonprofit', 'donate']"
ownthename.com,2,['foundation']
oxfordhouse.org.uk,2,['charity']
paleycenter.org,9,"['501(c)(3)', 'nonprofit', 'mission']"
panoptykon.org,3,"['foundation', 'mission']"
parksideprimaryschool.org,1,['mission']
parma.org,2,['foundation']
parolesdexperts.org,1,['mission']
paroquiagloria.org.br,1,['mission']
pathofcompassion.org,3,"['foundation', 'mission']"
peeltech.org,1,['mission']
pef.org,1,['mission']
pelhamcommunityspirit.org,2,['donate']
pellcenter.org,1,['mission']
pen.org,2,['donate']
pepmeup.org,2,['foundation']
pffpnc.org,2,['foundation']
philanthropyroundtable.org,2,['donate']
philpapers.org,2,['foundation']
phscof.org,10,"['501(c)(3)', 'donate', 'foundation', 'mission']"
phys.org,3,"['donate', 'mission']"
plays.org,2,['foundation']
plos.org,11,"['501(c)(3)', 'nonprofit', 'foundation', 'mission']"
poets.org,3,"['donate', 'mission']"
pomonachamber.org,1,['mission']
portaransas.org,2,['foundation']
ppsspp.org,1,['mission']
preblestreet.org,5,"['donate', 'foundation', 'mission']"
projectchrono.org,1,['mission']
projectleftbehind.org,7,"['501(c)(3)', 'donate']"
projectparalink.org,2,['foundation']
projectpneuma.org,9,"['501(c)(3)', 'donate', 'foundation']"
prota4u.org,2,['foundation']
providence.org,3,"['foundation', 'mission']"
prx.org,2,['donate']
psychologicalscience.org,2,['foundation']
psychotherapynetworker.org,1,['mission']
python.org,4,"['donate', 'foundation']"
qaf.org.tw,2,['foundation']
racism.org,1,['mission']
radiancefoundation.org,5,"['donate', 'foundation', 'mission']"
rapusia.org,2,['foundation']
raritanheadwaters.org,2,['donate']
rccgstevenage.org.uk,1,['mission']
rccgvtct.org.za,1,['mission']
rcfdenver.org,7,"['nonprofit', 'donate', 'foundation']"
rclacombe.org,1,['mission']
rctc.org,1,['mission']
reelingfreedom.org,9,"['501(c)(3)', 'donate', 'foundation']"
reimaginerpe.org,6,"['nonprofit', 'donate', 'mission']"
rettsyndrome.org,5,"['donate', 'foundation', 'mission']"
rfg.org,3,"['foundation', 'mission']"
righttoknow.org.au,7,"['charity', 'donate', 'foundation', 'mission']"
rip.org.uk,2,['charity']
ritalangworthyfoundation.org,2,['foundation']
roberthjackson.org,3,"['donate', 'mission']"
robertstavinsblog.org,1,['mission']
roccnet.org,6,"['nonprofit', 'donate', 'mission']"
rotaplast.org,10,"['501(c)(3)', 'donate', 'foundation', 'mission']"
rspcadoncasterrotherham.org.uk,4,"['charity', 'donate']"
saarctb.org,1,['mission']
safeandjustmi.org,3,"['donate', 'mission']"
sagmoraine.org,2,['donate']
sah-archipedia.org,3,"['donate', 'mission']"
sahistory.org.za,2,['donate']
saintvdp.org,3,"['donate', 'mission']"
sandiego.org,1,['mission']
saotd-fr.org,2,['donate']
schoenstatt.org,1,['mission']
sciencegenderequity.org.au,1,['mission']
sciencesport.org,2,['donate']
scitech.org.au,1,['mission']
scituatelibrary.org,1,['mission']
sdfhs.org,2,['charity']
seedimpact.org,11,"['501(c)(3)', 'nonprofit', 'donate', 'mission']"
seekinformation.org,5,"['nonprofit', 'foundation']"
segaretro.org,2,['donate']
segsprescue.org,3,"['donate', 'mission']"
selfhelpafrica.org,4,"['charity', 'donate']"
shadesofusafrica.org,2,['donate']
sheboygan.org,2,['foundation']
siac.org.sg,3,"['foundation', 'mission']"
simplemehndidesign.org,2,['foundation']
sinhvienusa.org,8,"['501(c)(3)', 'nonprofit']"
siumed.org,2,['donate']
sjehydes.org,1,['mission']
snfcc.org,3,"['foundation', 'mission']"
snpo.org,4,"['nonprofit', 'mission']"
socialhistory.org,2,['donate']
somervillenj.org,3,"['donate', 'mission']"
sortix.org,1,['mission']
souktel.org,2,['foundation']
sound2020.org,1,['mission']
southsidefoundation.org,4,"['donate', 'foundation']"
spanadvocacy.org,4,"['donate', 'foundation']"
spectrumgenerations.org,1,['mission']
sportingequals.org.uk,4,"['charity', 'foundation']"
st-helens.org.uk,2,['charity']
stanthonydsm.org,1,['mission']
stencilarchive.org,3,"['donate', 'mission']"
stewartmemorial.org,2,['donate']
stjohnsorange.org,1,['mission']
stjosephlyon.org,1,['mission']
stmaryscastlestreet.org.uk,1,['mission']
stninianscommunitychurch.org,2,['charity']
stressfreeschoolfoundation.org,4,"['donate', 'foundation']"
studiotomassaraceno.org,5,"['donate', 'foundation', 'mission']"
summitpost.org,1,['mission']
tabledebates.org,1,['mission']
tcboe.org,1,['mission']
tdhj.org,2,['donate']
templeoftriumph.org,1,['mission']
tenacity.org,7,"['501(c)(3)', 'donate']"
tensorflow.org,1,['mission']
texasdawgsbaseball.org,1,['mission']
texastribune.org,6,"['nonprofit', 'donate', 'mission']"
tfn.org,3,"['donate', 'mission']"
thecasecentre.org,1,['mission']
thedigitalschool.org,3,"['foundation', 'mission']"
thegreenhub.org,1,['mission']
thehickman.org,3,"['donate', 'mission']"
thehowcenter.org,2,['donate']
thehubbikecoop.org,1,['mission']
thejewishmuseum.org,5,"['donate', 'foundation', 'mission']"
thelegit.org,2,['foundation']
thenash.org,2,['donate']
theneustadt.org,2,['donate']
thepastpresently.org,1,['mission']
thetorch.org.au,1,['mission']
thewaterproject.org,9,"['501(c)(3)', 'charity', 'donate']"
thewyldlifefund.org,4,"['donate', 'foundation']"
thirdcoastactivist.org,2,['donate']
thisismosaic.org,1,['mission']
thomasgray.org,5,"['charity', 'foundation', 'mission']"
thoracicrad.org,3,"['donate', 'mission']"
tidalforce.org,1,['mission']
tizen.org,3,"['foundation', 'mission']"
towervillecc.org,3,"['donate', 'mission']"
tpr.org,5,"['nonprofit', 'donate']"
trainingforpeace.org,1,['mission']
transgressivelearning.org,2,['foundation']
treebase.org,1,['mission']
triathlon.org,1,['mission']
trucksafety.org,2,['donate']
trypo.org,2,['donate']
tsd.org,1,['mission']
ttoc.org,3,"['donate', 'mission']"
tyhafan.org,1,['mission']
typo3.org,1,['mission']
ucsusa.org,11,"['501(c)(3)', 'nonprofit', 'donate', 'mission']"
ucutucuman.org,1,['mission']
un.org,3,"['donate', 'mission']"
unesco.org,3,"['donate', 'mission']"
unicode.org,1,['mission']
usacbi.org,2,['donate']
ushmm.org,2,['donate']
uwp.org,2,['donate']
venturize.org,8,"['501(c)(3)', 'nonprofit']"
vibempac.org,1,['mission']
virmer.org,1,['mission']
vumc.org,2,['foundation']
vvmf.org,6,"['nonprofit', 'donate', 'mission']"
wamc.org,2,['donate']
wardfellowship.org,2,['donate']
wbur.org,2,['donate']
wca4kids.org,3,"['donate', 'mission']"
wchsmn.org,3,"['donate', 'mission']"
webdoky.org,1,['mission']
webonary.org,5,"['donate', 'foundation', 'mission']"
wedibuffalo.org,3,"['donate', 'mission']"
wers.org,2,['donate']
westchesterlibraries.org,2,['donate']
westgrinstead.org,2,['donate']
wheatondrama.org,2,['donate']
whitneyumc.org,3,"['donate', 'mission']"
whywerefuse.org,1,['mission']
wikem.org,5,"['donate', 'foundation', 'mission']"
wikidata.org,2,['donate']
wikigallery.org,1,['mission']
wikimedia.org,2,['donate']
wikinews.org,7,"['501(c)(3)', 'foundation']"
wikipedia.org,5,"['donate', 'foundation', 'mission']"
wisdomlib.org,2,['donate']
withdrawconsent.org,2,['foundation']
woodturner.org,8,"['501(c)(3)', 'nonprofit']"
wordpress.org,7,"['charity', 'donate', 'foundation', 'mission']"
worldobesity.org,3,"['charity', 'mission']"
worldofchildren.org,5,"['nonprofit', 'charity']"
worldpeacemusicfest.org,3,"['donate', 'mission']"
wsa-global.org,1,['mission']
wsha.org,2,['charity']
ww1cc.org,5,"['donate', 'foundation', 'mission']"
x-teens.org,1,['mission']
xwiki.org,2,['donate']
yeseverykidfoundation.org,9,"['501(c)(3)', 'donate', 'foundation']"
yinuo555.org,3,"['foundation', 'mission']"
ymcasteuben.org,8,"['501(c)(3)', 'donate', 'mission']"
yugo.org,3,"['donate', 'mission']"
z88dk.org,1,['mission']
zipwithus.org,10,"['501(c)(3)', 'charity', 'donate', 'mission']"
zoa.org,8,"['501(c)(3)', 'donate', 'mission']"
zsl.org,4,"['charity', 'donate']"
